"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow"
0:00:00.000,,0.8836,5.1958,0,0,0,0,-1,76.7072,5113.6152,0,0,5562,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:00.500,,0.8836,5.222,0,0,0,0,-1,76.7072,5298.859,0,0,5662,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:01.000,,0.9425,5.2316,0,0,0,0,-1,76.7072,5298.859,0,0,5762,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:01.500,,0.9425,5.2392,0,0,0,0,-1,76.7072,5223.6797,0,0,5862,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:02.000,,0.9425,5.212,0,0,0,0,-1,76.7072,5242.4746,0,0,5962,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:02.500,,0.9425,5.2163,0,0,0,0,-1,76.7072,5261.2695,0,0,6062,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:03.000,,0.9425,5.1956,0,0,0,0,-1,76.7072,5167.2949,0,0,6162,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:03.500,,0.9425,5.2135,0,0,0,0,-1,76.7072,5242.4746,0,0,6262,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:04.000,,0.9425,5.198,0,0,0,0,-1,76.7072,5204.8848,0,0,6362,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:04.500,,0.9425,5.218,0,0,0,0,-1,76.7072,5204.8848,0,0,6462,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:05.000,,0.9425,5.1929,0,0,0,0,-1,76.7072,5261.2695,0,0,6562,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:05.500,,0.9425,5.3623,0,0,0,0,-1,76.7072,5317.6539,0,0,6662,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:06.000,,0.9425,5.0879,0,0,0,0,-1,76.7072,5078.7305,0,0,6762,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:06.500,,0.8836,5.3439,0,0,0,0,-1,76.7072,5336.4488,0,0,6862,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
0:00:07.000,,0.9425,5.3632,0,0,0,0,-1,76.7072,5242.4746,0,0,6962,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.6,0
