"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow","Flow"
0:00:00.500,,0.7658,4.3642,0,0,0,0,-1,0,4344.4934,0,0,50119,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2072,0,0,0,29.3,0,4344.4934
0:00:01.000,,0.7658,4.4264,0,0,0,0,-1,0,4344.4934,0,0,50219,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2072,0,0,0,29.3,0,4344.4934
0:00:01.500,,0.8247,4.3371,0,0,0,0,-1,0,4444.5195,0,0,50319,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2072,0,0,0,29.3,0,4444.5195
0:00:02.000,,0.7658,4.3624,0,0,0,0,-1,0,4377.8355,0,0,50419,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2072,0,0,0,29.3,0,4377.8355
0:00:02.500,,0.7069,4.3393,0,0,0,0,-1,0,4294.4805,0,0,50520,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2072,0,0,0,29.3,0,4294.4805
0:00:03.000,,0.7658,4.3296,0,0,0,0,-1,0,4277.8098,0,0,50620,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2072,0,0,0,29.3,0,4277.8098
0:00:03.500,,0.7658,4.4569,0,0,0,0,-1,0,4544.5453,0,0,50720,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2056,0,0,0,29.3,0,4544.5453
0:00:04.000,,0.8247,4.4385,0,0,0,0,-1,0,4377.8355,0,0,50821,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2056,0,0,0,29.3,0,4377.8355
0:00:04.500,,0.8247,5.045,0,0,0,0,-1,0,4627.9,0,0,50921,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2056,0,0,0,29.3,0,4627.9
0:00:05.000,,0.7658,4.554,0,0,0,0,-1,0,4527.8742,0,0,51025,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,2056,0,0,0,29.3,0,4527.8742
