"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow","Flow"
0:00:00.500,,0.9425,4.8663,0,0,0,0,-1,23.8766,4817.5449,0,0,707,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,4817.5449
0:00:01.000,,1.0014,4.8596,0,0,0,0,-1,23.8766,4890.3832,0,0,807,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,4890.3832
0:00:01.500,,1.0014,4.8403,0,0,0,0,-1,23.8766,4861.248,0,0,907,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,4861.248
0:00:02.000,,0.8836,4.8528,0,0,0,0,-1,23.8766,4802.9773,0,0,1007,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,4802.9773
0:00:02.500,,0.9425,4.828,0,0,0,0,-1,23.8766,4817.5449,0,0,1108,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,4817.5449
0:00:03.000,,1.0014,4.8868,0,0,0,0,-1,23.8766,4934.0859,0,0,1208,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,4934.0859
0:00:03.500,,1.0014,4.867,0,0,0,0,-1,23.8766,5021.4914,0,0,1308,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.3,0,5021.4914
0:00:04.000,,1.0014,4.8749,0,0,0,0,-1,23.8766,4948.6535,0,0,1408,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4948.6535
0:00:04.500,,0.9425,4.849,0,0,0,0,-1,23.8766,4861.248,0,0,1513,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4861.248
0:00:05.000,,0.9425,4.8419,0,0,0,0,-1,23.8766,4832.1125,0,0,1613,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4832.1125
0:00:05.500,,1.0014,4.9629,0,0,0,0,-1,23.8766,5050.6266,0,0,1713,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,5050.6266
0:00:06.000,,1.0014,4.8993,0,0,0,0,-1,23.8766,4802.9773,0,0,2149,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,4802.9773
0:00:06.500,,1.0014,4.8457,0,0,0,0,-1,23.8766,4948.6535,0,0,2247,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,4948.6535
0:00:07.000,,2.2973,3.0026,0,0,0,0,-1,23.8766,2314.7086,0,0,2346,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,2314.7086
0:00:07.500,"exp",5.1836,-0.185,0,0,0,0,-1,23.8766,-11.9768,0,0,2442,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,-11.9768
0:00:08.000,"exp",5.2425,-0.0544,0,0,0,0,-1,23.8766,0,0,0,2534,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,0
0:00:08.500,,5.0658,-0.4699,0,0,0,0,-1,23.8766,-500.2158,0,0,2625,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,-500.2158
0:00:09.000,,5.1247,-0.0306,0,0,0,0,-1,23.8766,0,0,0,2716,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,0
0:00:09.500,,5.1836,-0.0056,0,0,0,0,-1,23.8766,-23.9535,0,0,2806,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,-23.9535
0:00:10.000,,5.0069,0.0344,0,0,0,0,-1,23.8766,24.8903,0,0,2899,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,24.8903
0:00:10.500,,5.1836,-0.0066,0,0,0,0,-1,23.8766,-5.9884,0,0,2998,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,-5.9884
0:00:11.000,,4.948,0.0205,0,0,0,0,-1,23.8766,0,0,0,3098,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,0
0:00:11.500,,4.7712,0.0053,0,0,0,0,-1,23.8766,8.2968,0,0,3198,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,8.2968
0:00:12.000,,5.1247,0.0038,0,0,0,0,-1,23.8766,0,0,0,3296,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.4,0,0
