"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow"
0:00:00.500,,1.0014,5.2658,0,0,0,0,-1,12.2308,5345.8938,0,0,32808,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:01.000,,1.0014,5.2445,0,0,0,0,-1,12.2308,5309.6586,0,0,32908,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:01.500,,1.0014,5.2121,0,0,0,0,-1,12.2308,5094.1355,0,0,33008,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:02.000,,1.0603,5.1214,0,0,0,0,-1,12.2308,4936.7422,0,0,33108,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:02.500,,0.9425,5.3814,0,0,0,0,-1,12.2308,5273.4234,0,0,33208,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:03.000,,0.9425,5.187,0,0,0,0,-1,12.2308,5146.6,0,0,33308,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:03.500,,0.9425,5.3199,0,0,0,0,-1,12.2308,5146.6,0,0,33408,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:04.000,,0.9425,5.2481,0,0,0,0,-1,12.2308,5273.4234,0,0,33508,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:04.500,,1.0014,5.2203,0,0,0,0,-1,12.2308,5255.3055,0,0,33608,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:05.000,,0.9425,5.3081,0,0,0,0,-1,12.2308,5382.1289,0,0,33708,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:05.500,,1.0014,5.2581,0,0,0,0,-1,12.2308,5291.541,0,0,33808,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:06.000,,1.0014,5.2175,0,0,0,0,-1,12.2308,5219.0703,0,0,33908,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:06.500,,3.1219,2.31,0,0,0,0,-1,12.2308,1279.1258,0,0,34008,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:07.000,,1.8849,3.9596,0,0,0,0,-1,12.2308,3854.4102,0,0,34108,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:07.500,,1.5315,1.3367,0,0,0,0,-1,12.2308,2471.7,0,0,34208,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:08.000,,1.0014,5.2826,0,0,0,0,-1,12.2308,5219.0703,0,0,34308,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:08.500,,0.9425,5.2715,0,0,0,0,-1,12.2308,5255.3055,0,0,34408,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:09.000,,4.8302,0.4463,0,0,0,0,-1,12.2308,391.6095,0,0,34508,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:09.500,,0,0.0076,0,0,0,0,-1,12.2308,0,0,0,34608,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:10.000,,-0.0589,0.0006,0,0,0,0,-1,12.2308,0,0,0,34708,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:10.500,,0,0.0025,0,0,0,0,-1,12.2308,0,0,0,34808,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:11.000,,0,-0.0014,0,0,0,0,-1,12.2308,0,0,0,34908,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:11.500,,0,0.004,0,0,0,0,-1,12.2308,0,0,0,35008,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:12.000,,0,-0.0009,0,0,0,0,-1,12.2308,-9.9231,0,0,35108,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:12.500,,0,-0.0024,0,0,0,0,-1,12.2308,0,0,0,35208,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:13.000,,0,-0.0007,0,0,0,0,-1,12.2308,0,0,0,35308,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
0:00:13.500,,0,0.0018,0,0,0,0,-1,12.2308,0,0,0,35408,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,20.3,0
