"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow","Flow"
0:00:00.500,,0.9425,4.7149,0,0,0,0,-1,3.8136,4792.8332,0,0,64067,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4792.8332
0:00:01.000,,0.9425,4.7061,0,0,0,0,-1,3.8136,4727.9063,0,0,64167,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4727.9063
0:00:01.500,,0.9425,4.7149,0,0,0,0,-1,3.8136,4744.1383,0,0,64267,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4744.1383
0:00:02.000,,0.9425,4.7066,0,0,0,0,-1,3.8136,4744.1383,0,0,64367,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4744.1383
0:00:02.500,,0.9425,4.7206,0,0,0,0,-1,3.8136,4727.9063,0,0,64467,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4727.9063
0:00:03.000,,0.9425,4.7126,0,0,0,0,-1,3.8136,4727.9063,0,0,64568,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4727.9063
0:00:03.500,,0.9425,4.7197,0,0,0,0,-1,3.8136,4646.7477,0,0,64668,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4646.7477
0:00:04.000,,0.9425,4.6941,0,0,0,0,-1,3.8136,4744.1383,0,0,64768,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4744.1383
0:00:04.500,,0.9425,4.6963,0,0,0,0,-1,3.8136,4711.6746,0,0,64873,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4711.6746
0:00:05.000,,0.9425,4.7182,0,0,0,0,-1,3.8136,4711.6746,0,0,64973,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4711.6746
0:00:05.500,,0.9425,4.7133,0,0,0,0,-1,3.8136,4776.6016,0,0,65073,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4776.6016
0:00:06.000,,0.9425,4.7057,0,0,0,0,-1,3.8136,4679.2109,0,0,65173,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4679.2109
0:00:06.500,,0.9425,4.669,0,0,0,0,-1,3.8136,4565.5891,0,0,101,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4565.5891
0:00:07.000,,0.8836,4.6877,0,0,0,0,-1,3.8136,4695.443,0,0,200,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4695.443
0:00:07.500,,0.9425,4.6944,0,0,0,0,-1,3.8136,4662.9793,0,0,299,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4662.9793
0:00:08.000,,0.9425,4.7203,0,0,0,0,-1,3.8136,4646.7477,0,0,399,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4646.7477
0:00:08.500,,0.9425,4.7151,0,0,0,0,-1,3.8136,4744.1383,0,0,498,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4744.1383
0:00:09.000,,0.9425,4.7133,0,0,0,0,-1,3.8136,4679.2109,0,0,598,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4679.2109
0:00:09.500,,0.9425,4.6997,0,0,0,0,-1,3.8136,4744.1383,0,0,697,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4744.1383
0:00:10.000,,0.9425,4.6916,0,0,0,0,-1,3.8136,4711.6746,0,0,797,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4711.6746
0:00:10.500,,0.8836,4.7045,0,0,0,0,-1,3.8136,4695.443,0,0,898,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4695.443
0:00:11.000,,0.9425,4.6911,0,0,0,0,-1,3.8136,4662.9793,0,0,998,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4662.9793
0:00:11.500,,0.8836,4.714,0,0,0,0,-1,3.8136,4760.3699,0,0,1099,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4760.3699
0:00:12.000,,0.9425,4.693,0,0,0,0,-1,3.8136,4679.2109,0,0,1199,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4679.2109
0:00:12.500,,0.9425,4.7122,0,0,0,0,-1,3.8136,4679.2109,0,0,1299,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4679.2109
0:00:13.000,,0.9425,4.6945,0,0,0,0,-1,3.8136,4711.6746,0,0,1399,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4711.6746
0:00:13.500,,0.9425,4.6983,0,0,0,0,-1,3.8136,4679.2109,0,0,1499,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4679.2109
0:00:14.000,,0.9425,4.7049,0,0,0,0,-1,3.8136,4662.9793,0,0,1599,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30,0,4662.9793
0:00:14.500,,0.9425,4.6923,0,0,0,0,-1,3.8136,4776.6016,0,0,1699,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4776.6016
0:00:15.000,,0.9425,4.7119,0,0,0,0,-1,3.8136,4760.3699,0,0,1800,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4760.3699
0:00:15.500,,0.9425,4.7072,0,0,0,0,-1,3.8136,4727.9063,0,0,1899,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4727.9063
0:00:16.000,,0.9425,4.6992,0,0,0,0,-1,3.8136,4776.6016,0,0,1999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4776.6016
0:00:16.500,,0.9425,4.696,0,0,0,0,-1,3.8136,4695.443,0,0,2099,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4695.443
0:00:17.000,,0.9425,4.6997,0,0,0,0,-1,3.8136,4776.6016,0,0,2199,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4776.6016
0:00:17.500,,0.9425,4.7139,0,0,0,0,-1,3.8136,4727.9063,0,0,2299,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4727.9063
0:00:18.000,,0.9425,4.7059,0,0,0,0,-1,3.8136,4744.1383,0,0,2399,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.7,0,4744.1383
0:00:18.500,,0.9425,4.712,0,0,0,0,-1,3.8136,4744.1383,0,0,2499,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.2,0,4744.1383
0:00:19.000,,0.9425,4.7148,0,0,0,0,-1,3.8136,4711.6746,0,0,2599,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.2,0,4711.6746
0:00:19.500,,0.9425,4.7122,0,0,0,0,-1,3.8136,4711.6746,0,0,2699,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.2,0,4711.6746
0:00:20.000,,0.9425,4.6911,0,0,0,0,-1,3.8136,4646.7477,0,0,2799,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.2,0,4646.7477
0:00:20.500,,0.9425,4.6858,0,0,0,0,-1,3.8136,4614.284,0,0,2900,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4614.284
0:00:21.000,,0.9425,4.6909,0,0,0,0,-1,3.8136,4646.7477,0,0,3000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4646.7477
0:00:21.500,,0.9425,4.7082,0,0,0,0,-1,3.8136,4727.9063,0,0,3100,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4727.9063
0:00:22.000,,0.9425,4.6911,0,0,0,0,-1,3.8136,4679.2109,0,0,3199,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4679.2109
0:00:22.500,,0.9425,4.7154,0,0,0,0,-1,3.8136,4727.9063,0,0,3299,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4727.9063
0:00:23.000,,0.9425,4.6992,0,0,0,0,-1,3.8136,4695.443,0,0,3399,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4695.443
0:00:23.500,,0.9425,4.7022,0,0,0,0,-1,3.8136,4695.443,0,0,3499,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4695.443
0:00:24.000,,0.9425,4.7087,0,0,0,0,-1,3.8136,4662.9793,0,0,3599,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4662.9793
0:00:24.500,,0.9425,4.7157,0,0,0,0,-1,3.8136,4776.6016,0,0,3699,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4776.6016
0:00:25.000,,0.9425,4.6922,0,0,0,0,-1,3.8136,4662.9793,0,0,3799,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4662.9793
0:00:25.500,,0.8836,4.6865,0,0,0,0,-1,3.8136,4711.6746,0,0,3899,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4711.6746
0:00:26.000,,0.9425,4.6985,0,0,0,0,-1,3.8136,4776.6016,0,0,3999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4776.6016
0:00:26.500,,0.9425,4.7334,0,0,0,0,-1,3.8136,4679.2109,0,0,4099,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4679.2109
0:00:27.000,,0.9425,4.7142,0,0,0,0,-1,3.8136,4711.6746,0,0,4199,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4711.6746
0:00:27.500,,0.9425,4.7081,0,0,0,0,-1,3.8136,4679.2109,0,0,4299,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4679.2109
0:00:28.000,,0.8836,4.698,0,0,0,0,-1,3.8136,4662.9793,0,0,4400,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4662.9793
0:00:28.500,,0.8836,4.6876,0,0,0,0,-1,3.8136,4695.443,0,0,4500,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4695.443
0:00:29.000,,0.9425,4.695,0,0,0,0,-1,3.8136,4727.9063,0,0,4600,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4727.9063
0:00:29.500,,0.9425,4.7023,0,0,0,0,-1,3.8136,4727.9063,0,0,4699,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4727.9063
0:00:30.000,,0.9425,4.7004,0,0,0,0,-1,3.8136,4711.6746,0,0,4799,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4711.6746
0:00:30.500,,0.9425,4.6959,0,0,0,0,-1,3.8136,4727.9063,0,0,4900,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4727.9063
0:00:31.000,,0.9425,4.6947,0,0,0,0,-1,3.8136,4679.2109,0,0,4999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4679.2109
0:00:31.500,,0.8836,4.6789,0,0,0,0,-1,3.8136,4662.9793,0,0,5099,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.8,0,4662.9793
