"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow","Flow"
0:00:00.000,,0.8836,5.5602,0,0,0,0,-1,0,5581.9,0,0,34164,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5581.9
0:00:00.500,,0.8836,5.5509,0,0,0,0,-1,0,5488.5738,0,0,34264,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5488.5738
0:00:01.000,,0.8836,5.5659,0,0,0,0,-1,0,5451.2434,0,0,34364,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5451.2434
0:00:01.500,,0.8836,5.5903,0,0,0,0,-1,0,5712.5566,0,0,34464,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5712.5566
0:00:02.000,,0.8836,5.57,0,0,0,0,-1,0,5600.5652,0,0,34564,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5600.5652
0:00:02.500,,0.8836,5.566,0,0,0,0,-1,0,5656.5609,0,0,34664,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5656.5609
0:00:03.000,,0.9425,5.5752,0,0,0,0,-1,0,5507.2391,0,0,35214,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5507.2391
0:00:03.500,,0.8836,5.5917,0,0,0,0,-1,0,5600.5652,0,0,35316,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5600.5652
0:00:04.000,,0.9425,5.5678,0,0,0,0,-1,0,5619.2305,0,0,35419,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5619.2305
0:00:04.500,,0.9425,5.6004,0,0,0,0,-1,0,5507.2391,0,0,35522,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5507.2391
0:00:05.000,,0.8836,5.583,0,0,0,0,-1,0,5581.9,0,0,35634,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,28.8,0,5581.9
0:00:05.500,,0.8836,5.5608,0,0,0,0,-1,0,5581.9,0,0,35734,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5581.9
0:00:06.000,,0.8836,5.6227,0,0,0,0,-1,0,5581.9,0,0,35833,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5581.9
0:00:06.500,,0.8836,5.5962,0,0,0,0,-1,0,5581.9,0,0,35933,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5581.9
0:00:07.000,,0.8836,5.5716,0,0,0,0,-1,0,5619.2305,0,0,36032,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5619.2305
0:00:07.500,,0.8836,5.6018,0,0,0,0,-1,0,5656.5609,0,0,36132,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.4,0,5656.5609
0:00:08.000,,0.8836,5.5975,0,0,0,0,-1,0,5581.9,0,0,36232,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.4,0,5581.9
0:00:08.500,,0.8836,5.6191,0,0,0,0,-1,0,5563.2348,0,0,36332,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.4,0,5563.2348
0:00:09.000,,0.8836,5.632,0,0,0,0,-1,0,5544.5695,0,0,36433,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.4,0,5544.5695
0:00:09.500,,0.8836,5.596,0,0,0,0,-1,0,5712.5566,0,0,36533,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5712.5566
0:00:10.000,,0.8836,5.5121,0,0,0,0,-1,0,5488.5738,0,0,36633,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5488.5738
0:00:10.500,,0.8836,5.5597,0,0,0,0,-1,0,5600.5652,0,0,36733,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5600.5652
0:00:11.000,,0.9425,5.589,0,0,0,0,-1,0,5656.5609,0,0,36833,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5656.5609
0:00:11.500,,0.9425,5.5606,0,0,0,0,-1,0,5600.5652,0,0,36933,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5600.5652
0:00:12.000,,0.9425,5.5931,0,0,0,0,-1,0,5693.8914,0,0,37033,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,29.1,0,5693.8914
